Kabupaten-Kota,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-Rata
Kota Bengkulu,711970.0,711970.0,711970.0,711970.0,711970.0,711970.0,711970.0,711970.0,712967.0,712967.0,712967.0,712967.0,712302.0
Kab. Lampung Timur,428133.0,432543.0,432586.0,432586.0,432586.0,432586.0,432586.0,432586.0,432586.0,432586.0,432586.0,432586.0,432211.0
Kab. Mesuji,607412.0,637600.0,637600.0,637600.0,637600.0,637600.0,637600.0,637600.0,637600.0,637600.0,637600.0,637600.0,635084.0
Kota Bandar Lampung,577203.0,577203.0,577203.0,577203.0,577203.0,577203.0,577203.0,582513.0,589270.0,589270.0,589270.0,589270.0,581668.0
Kota Metro,487215.0,487215.0,487215.0,487215.0,487215.0,487215.0,487215.0,487215.0,487215.0,487215.0,488774.0,490338.0,487605.0
Tanjung Pandan,521750.0,521750.0,521750.0,521750.0,521750.0,521750.0,521750.0,521750.0,521750.0,521750.0,521750.0,521750.0,521750.0
Kab. Bangka Barat,707107.0,707107.0,707107.0,707107.0,707107.0,707107.0,707107.0,707107.0,707107.0,707107.0,707107.0,707107.0,707107.0
Kab. Belitung Timur,734847.0,734847.0,734847.0,734847.0,734847.0,734847.0,734847.0,734847.0,734847.0,734847.0,734847.0,734847.0,734847.0
Kota Pangkal Pinang,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0,1385641.0
Kab. Karimun,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0,1018234.0
Kota Batam,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0,1181118.0
Kota Tanjung Pinang,621503.0,621503.0,621503.0,621503.0,621503.0,621503.0,621503.0,621503.0,621503.0,621503.0,621503.0,621503.0,621503.0
DKI Jakarta,993262.0,996838.0,997137.0,997137.0,997137.0,997137.0,997137.0,997137.0,997137.0,997137.0,997137.0,997137.0,996789.0
Kab. Bandung,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0,1182274.0
Kab. Majalengka,441063.0,442297.0,443536.0,443536.0,443536.0,443536.0,443536.0,443536.0,443536.0,443536.0,443536.0,443536.0,443227.0
Kab. Subang,998429.0,998429.0,998429.0,998429.0,998429.0,998429.0,998429.0,998429.0,998429.0,998429.0,998429.0,998429.0,998429.0
Kota Bogor,1296064.0,1296064.0,1296064.0,1296064.0,1296064.0,1305526.0,1305526.0,1305526.0,1305526.0,1305526.0,1305526.0,1305526.0,1301583.0
Kota Sukabumi,697682.0,697682.0,697682.0,697682.0,697682.0,697682.0,697682.0,697682.0,697682.0,697682.0,697682.0,697682.0,697682.0
Kota Bandung,732239.0,732239.0,733703.0,733703.0,733703.0,733703.0,733703.0,733703.0,734070.0,735098.0,735098.0,735098.0,733838.0
Kota Cirebon,735706.0,735706.0,735706.0,735706.0,735706.0,735706.0,735706.0,735706.0,735706.0,735706.0,735706.0,735706.0,735706.0
Kota Bekasi,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0,1410801.0
Kota Depok,1245329.0,1245329.0,1245329.0,1245329.0,1266250.0,1266250.0,1266250.0,1266250.0,1266250.0,1266250.0,1266250.0,1266250.0,1259276.0
Kota Tasikmalaya,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0,1139231.0
Cilacap,588125.0,588125.0,588125.0,588125.0,588125.0,588125.0,588125.0,588125.0,592830.0,592830.0,592830.0,592830.0,589694.0
Purwokerto,937595.0,937595.0,937595.0,937595.0,942658.0,942658.0,942658.0,942658.0,942658.0,942658.0,946429.0,946429.0,941599.0
Kab. Wonosobo,486219.0,487240.0,493866.0,493866.0,493866.0,497126.0,501550.0,501550.0,505663.0,505663.0,505663.0,505663.0,498161.0
Kab. Wonogiri,494690.0,496917.0,496917.0,496917.0,496917.0,496917.0,496917.0,496917.0,502432.0,502432.0,502432.0,502432.0,498570.0
Kab. Rembang,556914.0,556914.0,584147.0,584147.0,584147.0,584147.0,584147.0,584147.0,584147.0,584147.0,584147.0,584147.0,579608.0
Kudus,758570.0,758570.0,758570.0,758570.0,758570.0,758570.0,758570.0,758570.0,760770.0,760770.0,760770.0,761835.0,759392.0
Kota Surakarta,879386.0,879386.0,879386.0,879386.0,880881.0,880881.0,880881.0,880881.0,880881.0,880881.0,880881.0,880881.0,880383.0
Kota Semarang,720532.0,720532.0,720532.0,720532.0,720532.0,720532.0,720532.0,720532.0,721613.0,721613.0,721613.0,721613.0,720892.0
Kota Tegal,838816.0,838816.0,838816.0,843346.0,843346.0,843346.0,843346.0,843346.0,843346.0,843346.0,843346.0,843346.0,842213.0
Kab. Gunungkidul,639855.0,639855.0,639855.0,639855.0,639855.0,639855.0,639855.0,639855.0,639855.0,639855.0,639855.0,639855.0,639855.0
Kota Yogyakarta,542242.0,542242.0,542242.0,546255.0,546255.0,546255.0,546255.0,546255.0,547347.0,547347.0,547347.0,547347.0,545616.0
Kab. Tulungagung,748718.0,748718.0,748718.0,748718.0,748718.0,748718.0,748718.0,748718.0,748718.0,748718.0,748718.0,748718.0,748718.0
Jember,604533.0,604533.0,604533.0,604533.0,604533.0,604533.0,604533.0,604533.0,605681.0,605681.0,605681.0,605681.0,604916.0
Banyuwangi,273820.0,273820.0,274067.0,274067.0,274067.0,274067.0,274067.0,274067.0,274067.0,274067.0,301281.0,301281.0,278561.0
Kab. Bojonegoro,440744.0,440744.0,440744.0,440744.0,440744.0,440744.0,440744.0,440744.0,440744.0,440744.0,440744.0,440744.0,440744.0
Kab. Gresik,798120.0,800674.0,810843.0,810843.0,810843.0,810843.0,817005.0,817005.0,817005.0,817005.0,817005.0,817005.0,812017.0
Sumenep,427472.0,427472.0,427472.0,427472.0,427472.0,427472.0,427472.0,427472.0,430935.0,430935.0,430935.0,430935.0,428626.0
Kota Kediri,865820.0,865820.0,865820.0,865820.0,865820.0,873180.0,873180.0,873180.0,873180.0,873180.0,873180.0,873180.0,870113.0
Kota Malang,842920.0,846713.0,846713.0,846713.0,847475.0,848746.0,848746.0,852735.0,852735.0,852735.0,852735.0,852735.0,849308.0
Kota Probolinggo,369766.0,369766.0,369766.0,369766.0,373020.0,373020.0,373020.0,373020.0,374064.0,374064.0,374064.0,374064.0,372283.0
Kota Madiun,473027.0,473027.0,473027.0,473027.0,473027.0,473027.0,473027.0,473027.0,473027.0,473027.0,473027.0,473027.0,473027.0
Kota Surabaya,1111632.0,1111632.0,1111632.0,1111632.0,1111632.0,1114189.0,1114189.0,1114189.0,1114189.0,1114189.0,1114189.0,1114189.0,1113123.0
Kab. Pandeglang,577830.0,577830.0,577830.0,577830.0,577830.0,577830.0,577830.0,577830.0,577830.0,577830.0,587768.0,587768.0,579486.0
Kab. Lebak,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0,1002594.0
Kota Tangerang,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0,2083333.0
Kota Cilegon,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0,1107828.0
Kota Serang,637165.0,637165.0,637165.0,637165.0,637165.0,637165.0,637165.0,637165.0,637165.0,637165.0,637165.0,637165.0,637165.0
Kab. Tabanan,882200.0,882200.0,899050.0,899050.0,899050.0,899050.0,899050.0,899050.0,899050.0,899050.0,899050.0,899050.0,896242.0
Kab. Badung,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0,1731458.0
Singaraja,750139.0,750139.0,750139.0,750139.0,750139.0,750139.0,750139.0,750139.0,750139.0,750139.0,750139.0,750139.0,750139.0
Kota Denpasar,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0,1609186.0
Kab. Sumbawa,655060.0,655060.0,655060.0,655060.0,655060.0,655060.0,655060.0,655060.0,655060.0,655060.0,655060.0,655060.0,655060.0
Kota Mataram,928932.0,928932.0,928932.0,935063.0,941141.0,941141.0,941141.0,941141.0,941235.0,941235.0,941235.0,941235.0,937613.0
Kota Bima,983693.0,983693.0,983693.0,983693.0,983693.0,983693.0,983693.0,983693.0,983693.0,983693.0,983693.0,983693.0,983693.0
Waingapu,940662.0,942355.0,942355.0,942355.0,942355.0,942355.0,942355.0,942355.0,946313.0,946313.0,946313.0,946313.0,943533.0
Kab. Timor Tengah Selatan,827381.0,827381.0,827381.0,827381.0,827381.0,827381.0,827381.0,827381.0,827381.0,827381.0,827381.0,827381.0,827381.0
Maumere,644434.0,644434.0,644434.0,644434.0,644434.0,644434.0,644434.0,644434.0,652876.0,652876.0,652876.0,652876.0,647248.0
Kab. Ngada,318493.0,318493.0,318493.0,318493.0,318493.0,318493.0,318493.0,318493.0,318493.0,318493.0,318493.0,318493.0,318493.0
Kota Kupang,940776.0,940776.0,940776.0,940776.0,940776.0,940776.0,940776.0,940776.0,940776.0,940776.0,940776.0,940776.0,940776.0
Kab. Ketapang,744041.0,744041.0,744041.0,744041.0,744041.0,748803.0,748803.0,748803.0,752172.0,752172.0,754128.0,754128.0,748268.0
Sintang,818807.0,818807.0,818807.0,818807.0,818807.0,818807.0,818807.0,818807.0,818807.0,818807.0,818807.0,818807.0,818807.0
Kab. Kayong Utara,555921.0,555921.0,555921.0,555921.0,555921.0,555921.0,555921.0,555921.0,555921.0,555921.0,555921.0,555921.0,555921.0
Kota Pontianak,848288.0,848288.0,848288.0,848288.0,848288.0,848288.0,848288.0,848288.0,849984.0,849984.0,849984.0,849984.0,848853.0
Kota Singkawang,798099.0,798099.0,798099.0,798099.0,798099.0,798099.0,805202.0,805202.0,805202.0,805202.0,805202.0,805202.0,801651.0
Sampit,863526.0,863526.0,863526.0,863526.0,863526.0,863526.0,863526.0,863526.0,863526.0,863526.0,863526.0,863526.0,863526.0
Kab. Kapuas,962445.0,962445.0,962445.0,962445.0,962445.0,962445.0,962445.0,962445.0,962445.0,962445.0,962445.0,962445.0,962445.0
Kab. Sukamara,450962.0,450962.0,450962.0,450962.0,450962.0,450962.0,450962.0,450962.0,450962.0,450962.0,450962.0,450962.0,450962.0
Kota Palangkaraya,902654.0,902654.0,902654.0,902654.0,902654.0,902654.0,902654.0,902654.0,902654.0,902654.0,902654.0,902654.0,902654.0
Kab. Tanah Laut,706580.0,706580.0,706580.0,706580.0,706580.0,706580.0,706580.0,706580.0,706580.0,706580.0,790381.0,790381.0,720547.0
Kotabaru,709930.0,709930.0,709930.0,709930.0,709930.0,709930.0,709930.0,709930.0,709930.0,709930.0,709930.0,709930.0,709930.0
Kab. Hulu Sungai Tengah,803941.0,803941.0,803941.0,803941.0,803941.0,803941.0,803941.0,803941.0,803941.0,803941.0,803941.0,803941.0,803941.0
Tanjung,900801.0,900801.0,900801.0,900801.0,900801.0,900801.0,900801.0,900801.0,900801.0,925213.0,925213.0,925213.0,906904.0
Kota Banjarmasin,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0
Kab. Berau,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0,1577187.0
Kab. Penajam Paser Utara,496692.0,496692.0,496692.0,496692.0,496692.0,496692.0,496692.0,496692.0,496692.0,496692.0,496692.0,496692.0,496692.0
Kota Balikpapan,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0,1914694.0
Kota Samarinda,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0,1240375.0
Tanjung Selor,996021.0,996021.0,996021.0,996021.0,996021.0,996021.0,996021.0,996021.0,996021.0,996021.0,996021.0,996021.0,996021.0
Kab. Nunukan,538810.0,538810.0,538810.0,538810.0,538810.0,538810.0,538810.0,538810.0,538810.0,538810.0,538810.0,538810.0,538810.0
Kota Tarakan,572034.0,572034.0,572034.0,572034.0,572034.0,572034.0,572034.0,572034.0,572034.0,572034.0,572034.0,572034.0,572034.0
Kab. Minahasa Selatan,230662.0,230662.0,230662.0,230662.0,230662.0,230662.0,230662.0,230662.0,233269.0,233269.0,233269.0,233269.0,231531.0
Kab. Minahasa Utara,532014.0,532014.0,532014.0,532014.0,532014.0,532014.0,532014.0,532014.0,532014.0,532014.0,532014.0,532014.0,532014.0
Kota Manado,1202636.0,1202636.0,1202636.0,1202636.0,1202636.0,1202636.0,1202636.0,1202636.0,1220315.0,1220315.0,1220315.0,1220315.0,1208529.0
Kota Kotamobagu,785050.0,785050.0,785050.0,785050.0,785050.0,785050.0,785050.0,785050.0,785050.0,785050.0,785050.0,785050.0,785050.0
Luwuk,505086.0,505086.0,505086.0,505086.0,520441.0,520441.0,562545.0,577002.0,577002.0,577002.0,577002.0,577002.0,542399.0
Kab. Morowali,756839.0,756839.0,756839.0,756839.0,756839.0,756839.0,756839.0,756839.0,756839.0,756839.0,953542.0,953542.0,789623.0
Kab. Toli Toli,331635.0,331635.0,331635.0,331635.0,331635.0,331635.0,331635.0,331635.0,331635.0,331635.0,331635.0,331635.0,331635.0
Kota Palu,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0,1447871.0
Bulukumba,575504.0,577173.0,577173.0,577173.0,577173.0,577173.0,579539.0,583538.0,583538.0,583538.0,583538.0,583538.0,579883.0
Watampone,465034.0,465034.0,465034.0,465034.0,465034.0,465034.0,465034.0,465034.0,465034.0,465034.0,465034.0,465034.0,465034.0
Kab. Wajo,333585.0,333585.0,333585.0,333585.0,333585.0,333585.0,333585.0,333585.0,336221.0,336221.0,357840.0,357840.0,338067.0
Kab. Sidenreng Rappang,601231.0,601231.0,601231.0,601231.0,601231.0,601231.0,601231.0,601231.0,601231.0,601231.0,601231.0,601231.0,601231.0
Kab. Luwu Timur,890168.0,890168.0,890168.0,890168.0,890168.0,890168.0,890168.0,890168.0,890168.0,890168.0,890168.0,890168.0,890168.0
Kota Makassar,687492.0,687561.0,687561.0,687561.0,687561.0,687561.0,687561.0,687561.0,692443.0,692443.0,692651.0,692651.0,689217.0
Kota Pare Pare,549653.0,555534.0,555534.0,555534.0,555534.0,555534.0,555534.0,555534.0,555534.0,555534.0,555534.0,555534.0,555044.0
Kota Palopo,518840.0,518840.0,518840.0,518840.0,518840.0,518840.0,518840.0,518840.0,518840.0,518840.0,518840.0,518840.0,518840.0
Kab. Konawe,592418.0,592418.0,592418.0,592418.0,592418.0,592418.0,592418.0,592418.0,592418.0,592418.0,592418.0,592418.0,592418.0
Kab. Kolaka,720415.0,720415.0,720415.0,720415.0,720415.0,720415.0,720415.0,720415.0,720415.0,720415.0,720415.0,720415.0,720415.0
Kota Kendari,800512.0,814201.0,814201.0,814201.0,814201.0,814201.0,814201.0,814201.0,814201.0,814201.0,814201.0,814201.0,813060.0
Kota Bau Bau,640114.0,640114.0,640114.0,640114.0,640114.0,640114.0,640114.0,640114.0,640114.0,640114.0,640114.0,640114.0,640114.0
Kab. Gorontalo,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0,1459463.0
Kota Gorontalo,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0,1093380.0
Kab. Majene,782090.0,782090.0,782090.0,782090.0,782090.0,782090.0,782090.0,782090.0,800000.0,800000.0,800000.0,800000.0,788060.0
Mamuju,952031.0,952031.0,952031.0,952031.0,952031.0,952031.0,976689.0,976689.0,976689.0,976689.0,976689.0,976689.0,964360.0
Kab. Maluku Tengah,541952.0,541952.0,541952.0,541952.0,541952.0,541952.0,541952.0,541952.0,541952.0,541952.0,541952.0,541952.0,541952.0
Kota Ambon,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0,1053144.0
Kota Tual,888972.0,888972.0,888972.0,888972.0,888972.0,888972.0,888972.0,888972.0,888972.0,902306.0,902306.0,902306.0,892305.0
Kab. Halmahera Tengah,1231431.0,1231431.0,1231431.0,1231431.0,1255444.0,1255444.0,1255444.0,1255444.0,1255444.0,1255444.0,1255444.0,1255444.0,1247440.0
Kota Ternate,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0,1382998.0
Manokwari,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0,1613743.0
Kab. Sorong,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0,1341641.0
Kab. Sorong Selatan,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0,2286728.0
Kota Sorong,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0,2049390.0
Kota Jayapura,1939832.0,1939832.0,1939832.0,1939832.0,1939832.0,1939832.0,1939832.0,1939832.0,1939832.0,1939832.0,1943906.0,1943906.0,1940511.0
Merauke,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0,1419477.0
Timika,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0,1812825.0
Kab. Nabire,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0,2073077.0
Kab. Jayawijaya,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0,2100518.0
