Kabupaten,Latitude,Longitude,X_jarak,X_lebar_jalan,Y
Kab. Maluku Tengah,-3.159359609,129.2914508,136.17,6.0,541952.0
Kota Ambon,,,,10.0,1053144.0
Kota Tual,,,,9.0,892305.0
Kab. Halmahera Tengah,0.469329855,128.2249936,,7.0,1247440.0
Kota Ternate,,,,10.0,1382998.0
Manokwari,-0.909947127,133.8525083,0.01,8.0,1613743.0
Kab. Sorong,-1.116590747,131.5644872,,7.0,1341641.0
Kab. Sorong Selatan,,,,8.0,2286728.0
Kota Sorong,-1.116590747,131.5644872,,11.0,2049390.0
Kota Jayapura,-2.978902921,139.9758236,99.14,11.0,1940511.0
Merauke,-7.840149446,139.7043403,0.01,7.0,1419477.0
Timika,,,,8.0,1812825.0
Kab. Nabire,,,,8.0,2073077.0
Kab. Jayawijaya,,,,8.0,2100518.0
